numeral;form;year;century;homogenious_parts;pair_numerals;definiteness;adjectives
dva;anim;1882;XIX;yes_anim;no;high;no
dva;anim;1882;XIX;no;no;high;no
dva;anim;1882;XIX;no;no;medium;no
dva;anim;1881;XIX;no;no;high;yes
dva;anim;1880;XIX;no;no;high;no
dva;anim;1880;XIX;yes_inanim;no;high;no
dva;anim;1880;XIX;yes_inanim;no;high;no
dva;anim;1880;XIX;no;no;high;no
dva;anim;1879;XIX;no;no;medium;yes
dva;anim;1878;XIX;no;no;high;no
dva;anim;1878;XIX;no;no;medium;no
dva;anim;1875;XIX;no;no;high;yes
dva;anim;1873;XIX;yes_anim;no;high;no
dva;anim;1871;XIX;no;no;medium;no
dva;anim;1870;XIX;no;no;medium;no
dva;anim;1870;XIX;yes_inanim;no;high;no
dva;anim;1870;XIX;no;no;high;yes
dva;anim;1870;XIX;no;no;high;yes
dva;anim;1870;XIX;no;no;high;no
dva;anim;1869;XIX;no;no;high;no
dva;anim;1867;XIX;no;no;high;yes
dva;anim;1867;XIX;no;no;high;no
dva;anim;1867;XIX;no;no;high;no
dva;anim;1866;XIX;no;no;high;no
dva;anim;1865;XIX;no;no;high;yes
dva;anim;1864;XIX;no;no;high;no
dva;anim;1864;XIX;no;no;high;no
dva;anim;1863;XIX;no;no;high;no
dva;anim;1863;XIX;no;no;high;no
dva;anim;1863;XIX;no;no;high;no
dva;anim;1863;XIX;no;no;medium;no
dva;anim;1863;XIX;yes_anim;no;high;no
dva;anim;1862;XIX;no;no;high;no
dva;anim;1862;XIX;no;no;high;yes
dva;anim;1858;XIX;no;no;high;yes
dva;anim;1857;XIX;yes_anim;no;high;no
dva;anim;1857;XIX;no;yes;high;no
dva;anim;1857;XIX;yes_anim;no;medium;yes
dva;anim;1856;XIX;no;no;medium;yes
dva;anim;1856;XIX;no;no;high;yes
dva;anim;1855;XIX;no;no;high;yes
dva;anim;1853;XIX;no;no;high;yes
dva;anim;1853;XIX;no;no;high;no
dva;anim;1852;XIX;no;no;high;yes
dva;anim;1852;XIX;no;no;high;no
dva;anim;1852;XIX;no;no;medium;no
dva;anim;1852;XIX;no;no;high;no
dva;anim;1852;XIX;no;no;high;no
dva;anim;1852;XIX;yes_anim;no;high;yes
dva;anim;1852;XIX;no;no;high;no
dva;anim;1852;XIX;no;no;high;no
dva;anim;1852;XIX;no;no;high;no
dva;anim;1851;XIX;yes_anim;no;high;no
dva;anim;1851;XIX;no;no;high;no
dva;anim;1851;XIX;yes_inanim;no;high;yes
dva;anim;1851;XIX;no;no;medium;no
dva;anim;1850;XIX;yes_anim;no;high;no
dva;anim;1850;XIX;yes_anim;no;high;no
dva;anim;1848;XIX;no;no;high;yes
dva;anim;1845;XIX;yes_anim;no;high;no
dva;anim;1842;XIX;yes_anim;no;high;no
dva;anim;1842;XIX;yes_anim;no;high;no
dva;anim;1841;XIX;no;no;high;no
dva;anim;1839;XIX;yes_inanim;no;medium;no
dva;anim;1837;XIX;yes_inanim;no;medium;no
dva;anim;1835;XIX;no;no;medium;no
dva;anim;1835;XIX;no;no;high;no
dva;anim;1834;XIX;no;no;high;no
dva;anim;1834;XIX;no;no;high;no
dva;anim;1833;XIX;no;no;high;yes
dva;anim;1833;XIX;no;no;medium;no
dva;anim;1831;XIX;no;no;high;no
dva;anim;1831;XIX;no;no;high;no
dva;anim;1829;XIX;no;no;high;no
dva;anim;1828;XIX;no;no;high;yes
dva;anim;1823;XIX;no;no;high;yes
dva;anim;1822;XIX;no;no;high;yes
dva;anim;1817;XIX;no;no;high;no
dva;anim;1814;XIX;no;no;high;no
dva;anim;1814;XIX;no;no;high;yes
dva;anim;1809;XIX;no;no;high;no
dva;anim;1793;XVIII;no;no;high;no
dva;anim;1789;XVIII;yes_anim;no;high;no
dva;anim;1760;XVIII;no;no;medium;no
tri;inanim;2007;XXI;no;no;high;no
tri;inanim;2002;XXI;no;no;high;no
tri;inanim;2000;XXI;no;no;high;no
tri;inanim;1995;XX;no;no;medium;no
tri;inanim;1995;XX;no;no;medium;no
tri;inanim;1973;XX;no;no;high;no
tri;inanim;1972;XX;no;no;high;no
tri;inanim;1956;XX;no;no;high;no
tri;inanim;1951;XX;yes_anim;no;high;no
tri;inanim;1945;XX;no;no;high;no
tri;inanim;1935;XX;yes_anim;no;high;no
tri;inanim;1933;XX;no;no;high;no
tri;inanim;1927;XX;no;no;high;no
tri;inanim;1923;XX;no;no;high;no
tri;inanim;1914;XX;yes_inanim;no;high;no
tri;inanim;1907;XX;no;no;high;no
tri;inanim;1907;XX;no;no;high;no
tri;inanim;1878;XIX;yes_anim;no;high;no
tri;inanim;1867;XIX;no;no;high;no
tri;inanim;1861;XIX;no;no;medium;no
tri;inanim;1855;XIX;no;yes;medium;no
tri;inanim;1855;XIX;no;no;high;no
tri;inanim;1849;XIX;no;no;medium;no
tri;inanim;1844;XIX;no;no;high;no
tri;inanim;1839;XIX;yes_inanim;no;high;no
tri;inanim;1838;XIX;no;no;medium;no
tri;inanim;1835;XIX;no;no;medium;no
tri;inanim;1825;XIX;yes_inanim;no;high;yes
tri;inanim;1790;XVIII;yes_anim;no;high;no
tri;inanim;1752;XVIII;no;no;high;no
tri;anim;2001;XXI;no;no;high;no
tri;anim;1967;XX;no;no;high;no
tri;anim;1967;XX;no;no;high;no
tri;anim;1963;XX;no;no;high;no
tri;anim;2008;XXI;no;no;high;no
tri;anim;2008;XXI;yes_anim;no;high;no
tri;anim;2003;XXI;no;no;high;no
tri;anim;2003;XXI;no;no;high;yes
tri;anim;2003;XXI;no;no;medium;no
tri;anim;2003;XXI;no;no;high;yes
tri;anim;2003;XXI;no;no;high;no
tri;anim;2003;XXI;no;no;high;no
tri;anim;2003;XXI;no;no;high;yes
tri;anim;2003;XXI;no;no;high;yes
tri;anim;2002;XXI;no;no;high;no
tri;anim;2002;XXI;no;no;high;no
tri;anim;2002;XXI;no;no;high;no
tri;anim;2002;XXI;no;no;high;no
tri;anim;2002;XXI;no;no;high;no
tri;anim;2001;XXI;no;no;high;yes
tri;anim;2001;XXI;no;no;high;no
tri;anim;2001;XXI;no;no;high;yes
tri;anim;2000;XXI;no;no;high;no
tri;anim;2000;XXI;no;no;medium;no
tri;anim;1998;XX;no;no;high;no
tri;anim;1998;XX;no;no;high;no
tri;anim;1998;XX;no;no;medium;no
tri;anim;1996;XX;no;no;high;no
tri;anim;1996;XX;no;no;high;yes
tri;anim;1996;XX;no;no;medium;no
tri;anim;1989;XX;no;no;medium;no
tri;anim;1989;XX;no;no;medium;no
tri;anim;1985;XX;no;no;high;no
tri;anim;1984;XX;no;no;high;yes
tri;anim;1984;XX;no;no;high;no
tri;anim;1978;XX;no;no;high;no
tri;anim;1977;XX;no;no;high;no
tri;anim;1977;XX;no;no;high;no
tri;anim;1976;XX;no;no;high;no
tri;anim;1975;XX;yes_anim;no;high;no
tri;anim;1974;XX;no;no;high;no
