FormTranslit;LemmaTranslit;MoodTense;Trans;Voice;VoicePartcp;Person;Number;Gender;Long;AspPair;Aspect;Mood;Tense
"prop`ala;propast';indicpast;intr;act;;;sg;f;;;p;indic;past"
"obnar`uzhen;obnaruzhit';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past"
"pog`ibli;pogibnut';indicpast;intr;act;;;pl;;;;p;indic;past"
"poluch`il;poluchit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"vozbuzhden`o;vozbudit';partcpnonpast;tran;pass;pass;;sg;n;short;;p;partcp;nonpast"
"povljokshee;povlech';partcppast;tran;act;act;;sg;n;long;;p;partcp;past"
"sobr`al`is';sobrat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"uv`idet';uvidet';inf;tran;act;;;;;;;p;inf;"
"sobr`al`is';sobrat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"uv`idet';uvidet';inf;tran;act;;;;;;;p;inf;"
"peredajot;peredavat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"prish`edshie;priyti;partcppast;intr;act;act;;pl;;long;;p;partcp;past"
"smogl`i;smoch';indicpast;intr;act;;;pl;;;;p;indic;past"
"uv`idet';uvidet';inf;tran;act;;;;;;;p;inf;"
"nap`isannoy;napisat';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"v`ystupila;vystupit';indicpast;intr;act;;;sg;f;;;p;indic;past"
"pomog`ali;pomogat';indicpast;intr;act;;;pl;;;;i;indic;past"
"soobsch`ili;soobschit';indicpast;tran;act;;;pl;;;;p;indic;past"
"b`yli;byt';indicpast;intr;act;;;pl;;;;i;indic;past"
"poluch`it';poluchit';inf;tran;act;;;;;;;p;inf;"
